Title,CAS Number,Use(s),Synonym(s),Latest Criteria,Inhalation Unit Risk (μg/cubic meter)-1,Inhalation Slope Factor (mg/kg-day)-1,Oral Slope Factor (mg/kg-day)-1,Last Cancer Potency Revision,Acute REL (μg/m3),Species,Acute REL Toxicologic Endpoint,Acute REL Target Organs,Severity,Last Acute REL Revision,8-Hour Inhalation REL (μg/m3),Last 8-Hour REL Revision,Chronic Inhalation REL (μg/m3),Chronic Toxicologic Endpoint,Chronic Target Organs,Human Data,Health Risk Category,Cancer Risk at PHG,MCL value (mg/L),Cancer Risk at MCL,Notification Level (μg/L),Public Health Goal (mg/L),Last PHG Revision,No Significant Risk Level (NSRL) - Inhalation,No Significant Risk Level (NSRL) - Oral,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Inhalation,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Oral,Last NSRL/MADL Revision,Cancer,Cancer - Listing Mechanism,Reproductive Toxicity,Chemical listed under Proposition 65 as causing,Developmental Toxicity - Date of Listing,Developmental Toxicity - Listing Mechanism,Female Reproductive Toxicity - Date of Listing,Female Reproductive Toxicity - Listing Mechanism,Male Reproductive Toxicity - Date of Listing,Male Reproductive Toxicity - Listing Mechanism,"Child-specific refence dose (chRD) (mg/kg-day, unless noted)",Last chRD revision,CHHSL Commercial Non-volatile (mg/kg soil),"CHHSL Commercial Volatile, engineered fill (mcg/l soil gas)","CHHSL Commercial Volatile, no engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, no engineered fill (mcg/l soil gas)",Soil/soil-gas screening number (CHHSL) Residential Non-volatile (mg/kg soil)
Rifampin,13292-46-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Female Reproductive Toxicity",2/27/2001,FR,2/27/2001,FR,,,,,,,,,,
Rimsulfuron,122931-48-0,Herbicide,"Matrix; Tarot; Rimsulfuron [ANSI]; DPX-E 9636, 1-(4,6-dimethoxypyrimidin-2-yl)-3-(3-ethylsulfonylpyridin-2-yl)sulfonylurea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosuvastatin Calcium,147098-20-2,"A Hydroxymethylglutaryl-CoA-Reductase Inhibitor, or statin, that reduces the plasma concentrations of LDL-cholesterol, Apolipoprotein B, and Triglycerides, while increasing HDL-cholesterol levels in patients with hypercholesterolemia and those at risk for cardiovascular diseases","bis[(E)-7-[4-(4-fluorophenyl)-6-isopropyl-2-[methyl(methylsulfonyl)amino] pyrimidin-5-yl](3R,5S)-3,5-dihydroxyhept-6-enoic acid]; (S-(R*,S*-(E)))-7-(4-(4-Fluorophenyl)-6-(1-methylethyl)-2-(methyl(methylsulfonyl)amino)-5-pyrimidinyl)-3,5-dihydroxy-6-heptenoic acid, calcium salt (2:1); Rosuvastatin hemicalcium; ZD 4522; Crestor; Rovista",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,,,
Saccharin,81-07-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formerly listed,,,,,,,,,,,,,,,,,
Safrole,94-59-7,"Naturally occurring in small amounts in spices such as cinnamon, nutmeg, sassafras, and black pepper; principal component of brown camphor oil. Formerly used as fragrance and flavoring","Allylcatechol methylene ether; Allyldioxybenzene methylene ether; 1-allyl-3,4-methylenedioxybenzene; 4-Allyl-1,2-methylenedioxybenzene; allylpyrocatechol methylene ether; 1,2-methylenedioxy-4-allylbenzene; Rhyuno oil; Safrene; Safrol; Shikimol; Sassafras; EPA Pesticide Code: 097901",Proposition 65 NSRLs/MADLs,6.3 E-5,2.2 E-1,2.2 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
"Salted fish, Chinese-style",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
sec-butylbenzene,135-98-8,solvent,"S-Butyl benzene, (1-methylpropyl)-benzen, Benzene, sec-butyl-, benzene,(1-methylpropyl-), Benzene,(1-methylpropyl)-, sec-butyl-benzen, Secondary butylbenzene",,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,
Secobarbital Sodium,309-43-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,10/1/1992,FR,,,,,,,,,,,,
Sedaxane,874967-67-6,"A broad spectrum fungicide belonging to the class of ortho-substituted phenyl amides. Used as a  seed treatment on barley, canola, oat, rye, soybean, triticale, and wheat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Selenium,7782-49-2,"Power rectifiers and surge protection, photographic toner, anti-dandruff shampoos; production of glass (tinting), alloys, photoelectric cells, rubber, pharmaceuticals, fungicides, insecticides; component of tobacco smoke. Naturally occurring in small amounts in water and some foods.","Caswell No, 732; CI 77805; Elemental selenium; Gray selenium; Selenium alloy; Selenium base; Selenium compounds; Selenium dust; EPA Pesticide Code: 072001",California Public Health Goals,,,,,,,,,,,,,20 (inhalation); 5 μg/kg BW-day (oral),,"Inhalation and oral: Alimentary system (liver), cardiovascular system, nervous system",Yes,Integumentary toxicity (causes hair loss and nail damage),n/a,0.05,n/a,,0.03,2010,,,,,,,,,,,,,,,,,,,,,,,
Selenium Sulfide,7446-34-6,,,,,,,,,,,,,,,,20 (inhalation); 5 μg/kg BW-day (oral),,"Inhalation and oral: Alimentary system (liver), cardiovascular system, nervous system",Yes,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Sermorelin Acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,8/20/1999,FR,,,,,,,,,,,,
Shale-oils,68308-34-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
"Silica (crystalline, respirable)",,"Manufacture of glass, abrasives, ceramics, enamels, heat insulators, fire- and acid-prove packing materials; clarifying and filtration agent, molds for castings, decolorizing and purifying oil/petroleum, industrial filler","Silicon dioxide, Quartz, 7631-86-9",Chronic Reference Exposure Levels,,,,,,,,,,,,,3,,Respiratory system,Yes,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Silver and silver compounds,7440-22-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvex,93-72-1,Former agricultural herbicide. Banned for most uses by EPA in 1979; banned altogether in US since 1985,"Aqua-vex; Color-set; Double strength; Fenoprop; Fenormone; Kuran; Miller Nu Set; O-X-D; Silvi-rhap; STA-Fast; 2,4,5-TCPPA; 2,4,5-TP; 2,4,5-trichlorophenoxypropionic acid; Weed-B-Gon; EPA Pesticide Code: 082501",California Public Health Goals,,,,,,,,,,,,,,,,,Hepatotoxicity (liver),n/a,0.05,n/a,,0.003,2014,,,,,,,,,,,,,,,,,,,,,,,
Simazine,122-34-9,Herbicide,"Batazina; 2,4-bis(ethylamino)-6-chloro-s-triazine; Bitemol; Cat (herbicide); CDT; CET; 1-chloro,3,5-bisethylamino-2,4,5-triazine; 6-chloro-n,n'-diethyl-1,3,5-triazine-2,4-diamine;Gesaran; Gesatop; Herbazin; Herbex; Herboxy; Caswell No. 740; Princep; Printop; Radocon; Simadex; Simanex; Simazin; Symazine; Tafazine; Taphazine; Zeapur; EPA Pesticide Code: 80807",Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,General toxicity (body weight effects),n/a,0.004,n/a,,0.004,2001,,,,100 µg/day,,,,Currently listed,"Developmental Toxicity, Female Reproductive Toxicity",7/15/2016,AB-US EPA,7/15/2016,AB-US EPA,,,,,,,,,,
Simvastatin,79902-63-9,Antihyperlipidemic Agent; Anticholesteremic Agent; Hydroxymethylglutaryl-CoA Reductase Inhibitor; Drug/Therapeutic Agent,"2,2-Dimethylbutanoic acid (1S,3R,7S,8S,8aR)-1,2,3,7,8,8a-hexahydro-3,7-dimethyl-8-[2-[(2R,4R)-tetrahydro-4-hydroxy-6-oxo-2H-pyr an-2-yl]ethyl]-1-naphthalenyl ester; 2,2-dimethylbutyric acid 8-ester with (4R,6R)-6-[2-[(1S,2S,6R,8S,8aR)-1,2,6,7,8,8a-hexahydro-8-hydroxy-2,6-dimethyl-1-naphthyl]ethyl]tetrah ydro-4-hydroxy-2H-pyran-2-one; synvinolin; Zocor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Sodium Cyanide,143-33-9,,,Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium dicamba,1982690,Used as a herbicide to control broadleaf weeds,"Dicamba-sodium; Sodium dicamba; Sodium 3,6-dichloro-2-methoxybenzoate; Dicamba-sodium [ISO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Sodium dimethyldithiocarbamate,128-04-1,"Herbicide, biocide (cutting oils and aqueous systems), coagulant, vulcanizing agent, chelating agent; water treatment (precipitate heavy metal ions); stops polymerization of synthetic latexes in rubber","Sodium dimethyldithiocarbamate (SDMC); N,n-dimethyldithiocarbamate sodium salt; Methyl Namate; sodium-dimethylaminocarbodithioate; EPA Pesticide Code: 034804",Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,"23, or 58 as 40% pesticidal formulation µg/day",2005,,,Currently listed,Developmental Toxicity,3/30/1999,AB-US EPA,,,,,,,,,,,,
Sodium Fluoroacetate,62-74-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Male Reproductive Toxicity,,,,,11/6/1998,AB-US EPA,,,,,,,,
Sodium Hydroxide,1310-73-2,"Chemical base, acid neutralizer, caustic cleaning agent, solvent, production of paper or fibers (kraft pulping), tissue digestion, dissolving amphoteric metals, saponification (production of hard soap), manufacture of fabric and plastic, food processing, livestock management (cattle dehorning)",Caustic soda; Soda lye; Sodium hydrate,Acute Reference Exposure Levels,,,,,8,Human,"Skin, eye, and respiratory irritation",Eyes; skin; respiratory system,mild,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Nitrite,7632-00-0,"Component of heat-transfer salts; chemical in metal treatment & finishing operations; component of detinning solution & multipurpose greases; agent for recovery of tin from scrap; corrosion inhibitor; used for the production of nitroso and isonitroso compounds, diazotization reactions (especially for dyes), and the synthesis of pharmaceuticals and agricultural pesticides","Erinitrit; filmerine; NCI-C02084; nitrite de sodium (French); nitrous acid, sodium salt; anti-rust; synfat 1004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Sodium Saccharin,128-44-9,Sweetening agent,"Saccharin sodium; Saccharin, sodium; Sodium 3-oxo-3H-benzo[d]isothiazol-2-ide 1,1-dioxide; Sodium saccharin; Sodium saccharine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formerly listed,,,,,,,,,,,,,,,,,
Sodium tetraborate,1303-96-4,"Pesticide; manufacture of glass, enamels, & other ceramic products; soldering metals; preservative either alone or with other antiseptics against wood fungus; fireproofing fabrics & wood; corrosion inhibitor; bleaching agent for textile; ingredient of detergents and cosmetic products; oxidizer in tooth powder and tooth paste","Anhydrous borax; borax dehydrated; borax glass; boric acid, disodium salt; boron sodium oxide (B4Na2O7); disodium tetraborate; fused borax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
"Soots, tars, and mineral oils (untreated and mildly treated oils and used engine oils)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Spirodiclofen,148477-71-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Spironolactone,52-01-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,FR,,,,,,,,,,,,,,,,
Stanozolol,10418-03-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,FR,,,,,,,,,,,,,,,,
Sterigmatocystin,10048-13-2,"Produced by fungi in genus Aspergillus; found in water-damaged buildings, crusts of molded cheeses, moldy or low-quality food and animal feed","STC; 3a,12c-dihydro-8-hydroxy-6-methoxyfuro[3',2':4,5)furo[2,3-c]xanthen-7-one; 7h-furo(3',2':4,5)furo(2,3-c)xanthen-7-one,3a,12c-dihydro-8-hydroxy-6-methoxy-, (3ar-cis)",Proposition 65 NSRLs/MADLs,1.0 E-2,3.5 E+1,2.2 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Streptomycin Sulfate,3810-74-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,1/1/1991,FR,,,,,,,,,,,,
Streptozotocin,18883-66-4,"Medicine (antibiotic, chemotherapeutic agent). Naturally produced by Streptomyces achromogenes",2-Deoxy-2-(((methylnitrosoamino)carbonyl)amino)-d-glucose; NCI-C03167; STR; Streptozocin; Streptozoticin; STRZ; STZ; Zanosar,Proposition 65 NSRLs/MADLs,3.1 E-2,1.1 E+2,1.1 E+2,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity, Female Reproductive Toxicity",8/20/1999,FR,8/20/1999,FR,8/20/1999,FR,,,,,,,,
Strong inorganic acid mists containing sulfuric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Strontium-90,7440-24-6,"Medicine (superficial radiotherapy), heat source, beacon, tracer in medical and agricultural studies, luminous signs, industrial guaging. Found in nuclear fuel waste, nuclear weapon fallout",elemental strontium,California Public Health Goals,,,,,,,,,,,,,,,,,Carcinogenicity,0.000001,8 pCI/L,0.00002,,0.35 pCi/L,2006,,,,,,,,,,,,,,,,,,,,,,,
Styrene,100-42-5,"Precursor to polystyrene and several copolymers; production of plastic, synthetic rubber, insulation and protective coatings, construction materials, vehicle components, food containers; flavoring agent; component of automobile and tobacco smoke",Cinnamene; Cinnamenol; Cinnamol; Diarex HF 77; Ethylbenzene; NCI-C02200; Phenethylene; Phenylethene; Phenyl ethene; Phenylethylene; Styrene monomer; Styrol; Styrolene; Styron; Styropol; Styropor; Vinylbenzol; Vinyl benzene; Vinylbenzene,California Public Health Goals,,,,,21000,Human,Respiratory and eye irritation,"Respiratory system, eyes",Mild,1999,,,900,,Nervous system,Yes,Carcinogenicity,0.000001,0.1,0.0002,,0.0005,2010,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Styrene Oxide,96-09-3,"Reactive plasticizer or diluent for epoxy resins, treatment of fibers and textiles; production of phenethyl alcohol, styrene glycol and its derivatives; chemical intermediate in production of agricultural and biological chemicals, cosmetics and surface coatings","Epoxyethylbenzene; Epoxystyrene; NCI-C54977; Phenethylene oxide; 1-phenyl-1,2-epoxyethane; 1,2-Epoxyethylbenzene; Phenylethylene oxide; Phenyloxirane; Styrene epoxide; Styrene 7,8-oxide; Styryl oxide",Proposition 65 NSRLs/MADLs,4.6 E-5,1.6 E-1,1.6 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Sulfallate,95-06-7,Pre-emergent selective agricultural herbicide. All products discontinued by the manufacturer in the early 1990s.,"CDEC; Chlorallyl diethyldithiocarbamate; 2-chloroallyl n,n-diethyldithiocarbamate; NCI-C00453; Thioallate; Vegadex; Vegedex",Proposition 65 NSRLs/MADLs,5.4 E-5,1.9 E-1,1.9 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Sulfasalazine,599-79-1,,salicylazosulfapyridine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,Currently listed,Male Reproductive Toxicity,,,,,1/29/1999,FR,,,,,,,,
Sulfates,n/a,"Batteries, algaecide, mineral supplements, plaster, detergent and surfactant in personal care prodcts.",Salts of sulfuric acid; Calcium sulfate; Copper sulfate; Gypsum; Iron sulfate; Magnesium sulfate; Sodium laureth sulfate,Acute Reference Exposure Levels,,,,,120,Human,Respiratory irritation,Respiratory system,Mild,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfur Dioxide,9/5/7446,"Product of combustion, including from oil refineries, power plants, and automobile exhaust. Occurs naturally in volcanic and biogenic emissions, and decay of biologic materials.",Sulfur oxide; Sulfurous anhydride; Sulfurous oxide,Acute Reference Exposure Levels,,,,,660,Human,Respiratory irritation,Respiratory system,,1999,,,,,,,,,,,,,,,,,,2013,,,Currently listed,Developmental Toxicity,7/29/2011,SQE,,,,,,,,,,,,
Sulfuric Acid,7664-93-9,"Industrial and domestic cleaning agent; production of fertilizer, insecticide, detergents, synthetic resins, rayon, explosives, dyes, pharmaceuticals, and antifreeze; catalyst",Acid mist; Battery acid; BOV; Caswell No. 815; Contact acid; Dihydrogen sulfate; Dipping acid; Electrolyte acid; Hydrogen sulfate; Oil of vitriol; Spirit of vitriol; EPA Pesticide Code: 078001,Chronic Reference Exposure Levels,,,,,120,Human,Respiratory irritation,Respiratory system,Mild,1999,,,1,,Respiratory system,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfuryl fluoride,2699-79-8,structural fumigant,"sulphuryl fluoride, Sulfonyl fluoride; Sulfur dioxide difluoride; Sulphuryl fluoride; Sulfuryl difluoride; Vikane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulindac,38194-50-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Female Reproductive Toxicity",1/29/1999,FR,1/29/1999,FR,,,,,,,,,,
Sulprofos,35400-43-2,"Non-systemic insecticide with contacty and stomach action. Cholinesterase inhibitor. Used in the control of Lepidoptera, Thysanoptera, Heliothis spp., and other insects in cotton, soya beans, tobacco, vegetables, and tomatoes. /Former use/",Mercaprofos; Sulprophos; Mercaprophos; Merpafos; Bolstar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Talc containing asbestiform fibers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Tamoxifen and its salts,10540-29-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Tamoxifen Citrate,54965-24-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,7/1/1990,FR,,,,,,,,,,,,
"3,3',4,4'-TCB",32598-13-3,"Used as dielectric fluids in transformers and capacitors. PCB manufacture in the US was discontinued in 1977, and importation banned in 1979.","PCB congener, PCB 77; 1,1'-biphenyl, 3,3',4,4'-tetrachloro-",,3.8 E-3,1.3 E+1,1.3 E+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,4,4'5-TCB",70362-50-4,Byproduct of production of chlorinated organic chemicals,"PCB Congener, PCB 81; 3,4,4',5-Tetrachlorobiphenyl",,1.1 E-2,3.9 E+1,3.9 E+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tebuthiuron,34014-18-1,Herbicide,"Spike; Brulan; Graslan; Perflan; 1-(5-tert-Butyl-1,3,4-thiadiazol-2-yl)-1,3-dimethylurea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Temazepam,846-50-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,4/1/1990,FR,,,,,,,,,,,,
Teniposide,29767-20-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,9/1/1996,FR,,,,,,,,,,,,
Terbacil,5902-51-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,5/18/1999,AB-US EPA,,,,,,,,,,,,
Teriparatide,52232-67-4,"anabolic (i.e., bone growing) agent used in the treatment of some forms of osteoporosis",Forteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,FR,,,,,,,,,,,,,,,,
Terrazole,2593-15-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Tert-Amyl methyl ether,994-05-8,Used as an oxygenate for gasoline (added to increase octane enhancement and to raise the oxygen content in gasoline to help reduce emissions),"Butane, 2-methoxy-2-methyl-; Methyl tert-pentyl ether; 1,1-Dimethylpropyl methyl ether; 2-Methoxy-2-methylbutane; TAME (ether); tertiary-Amyl methyl ether",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formerly listed,Developmental Toxicity,12/18/2009,LC,,,,,,,,,,,,
tert-Butylbenzene,98-06-6,"solvent, polymer linking agent","1-bromo-4-tert-butylbenzene, (2-Methyl-2-propanyl)benzene, t-butylbenzene, Benzene, (1,1-dimethylethyl)-",,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,
Tertiary butyl alcohol,75-65-0,"Solvent, ethanol denaturant, paint remover ingredient, and gasoline octane booster and oxygenate. It is a chemical intermediate used to produce MTBE and ETBE by reaction with methanol and ethanol, and TBHP by reaction with hydrogen peroxide.","tert-Butanol, 2-Methylpropan-2-ol, Trimethyl carbinol, 2-Methyl-2-propanol",,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
Tertiary-Butyl Acetate,540-88-5,"Solvent used in the production of lacquers, enamels, inks, adhesives, thinners and industrial cleaners","1,1-Dimethylethyl acetate, 2-Acetoxy-2-methylpropane, Acetate de tert-butyle,, 	Acetic acid tert-butyl ester, Acetic acid, 1,1-dimethylethyl ester, Acetic acid, 1,1-dimethylethyl ester, UN 1123, Acetic acid, tert-butyl ester, ESSIGSAEURE-TERT-BUTYLESTER, NSC 59719, TBAc, tert-butyl acetate, tert-Butyl alcohol, acetate, tert-Butyl ethanoate, tert-Butylacetat, 	Texaco lead appreciator, UN 1123, Acetic acid, 1,1-dimethylethyl ester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Testosterone and its esters,58-22-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Testosterone Cypionate,58-20-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,10/1/1991,FR,,,,,,,,,,,,
Testosterone Enanthate,315-37-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,4/1/1990,FR,,,,,,,,,,,,
Tetrabromobisphenol A,79-94-7,"Tetrabromobisphenol A is widely used as a reactive flame retardant to produce a bromine-containing epoxy resin and polycarbonate, and as intermediates for the synthesis of other complex flame retardant, also as an additive flame retardant for ABS, HIPS, unsaturated polyester rigid polyurethane foams, adhesives and coatings.","Tetrabromobisphenol A Carbonate Oligomer;3,3′,5,5′-Tetrabromobisphenol A,4,4′-Isopropylidenebis(2,6-dibromophenol);4,4'-(2,2-Propanediyl)bis(2,6-dibromophenol);TetrabroMobisphenol A, 97% 100GR;2,2-Bis(3,5-dibromo-4-hydroxyphenyl)propane 4,4'-Isopropylidenebis(2,6-dibromophenol);4,4'-(Propane-2,2-diyl)bis(2,6-dibroMophenol);A3,3,5,5-TetrabroMo;FourtetrabroMo bisphenol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC-IARC,,,,,,,,,,,,,,,,
"3,3',4,4'-Tetrachloroazobenzene",14047-09-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
"2,3,7,8-Tetrachlorodibenzo-p-dioxin and related compounds",1746-01-6,"Byproduct of manufacture of chlorophenols, hexachlorophene, and herbicides; contaminant of the Agent Orange, PCBs, and pentachlorophenol; component of combustion, including waste incineration and tobacco smoke.","Dioxin, TCDD",,3.8 E+1,1.3 E+5,1.3 E+5,,,,,,,12/1/2008,,,0.00004 (inhalation); 0.00001 μg/kg BW-day (oral),,Inhalation and oral: Alimentary system (liver); reproductive system; development; endocrine system; respiratory system; hematologic system,No,Carcinogenicity,0.000001,0.00000003,0.0006,,0.05 picograms/L (pg/L),2010,,,,,,Currently listed,SQE,Currently listed,Developmental Toxicity,4/1/1991,AB-US EPA,,,,,,,,,,,,
"2,3,7,8-Tetrachlorodibenzofuran",51207-31-9,"Found in smoke emissions, byproduct of chemical synthesis","2,3,7,8-Tetrachlorodibenzofuran, TCDF, Dibenzofuran, 2,3,7,8-tetrachloro-;NCI-C56611;2,3,7,8-Tetrachlorodibenzo[b,d]furan",,3.8 E+0,1.3 E+4,1.3 E+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,1,1,2-Tetrachloroethane",630-20-6,Solvent; production of wood stains and varnishes,asym-tetrachloroethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC-IARC,,,,,,,,,,,,,,,,
"1,1,2,2-Tetrachloroethane",79-34-5,"Solvent, degreaser, refrigerant, extractant; ingredient in paints and pesticides. In the US, presently used only as chemical intermediate in chemical synthesis.",Acetylene tetrachloride; sym-Tetrachloroethane; s-Tetrachloroethane; R-130; TeCA,California Public Health Goals,5.8 E-5,2.0 E-1,2.0 E-1,,,,,,,,,,,,,,Carcinogenicity,0.000001,0.001,0.00001,,0.0001,2003,,,,,1992,Currently listed,AB-NIOSH,,,,,,,,,,,,,,,,
Tetrachloroethylene,127-18-4,"Solvent for organic materials used in dry-cleaning, textile processing, and vapor-degreasing; chemical intermediate. Formerly used in medicine as a hookworm vermifuge.",AI3-01860; Ankilostin; Antisal 1; Antisol 1; Caswell No. 827; Didakene; Ethylene Tetrachloride; NCI-C04580; Nema; PCE; Perchlor; Perchloroethylene; PERC; Perclene; Perklone; Tetracap; Tetrachloroethylene; Tetrachloroethene; Tetraleno; Tetralex; Tetropil; EPA Pesticide Code: 078501,Proposition 65 NSRLs/MADLs,6.1 E-6,2.1 E-2,5.4 E-1,9/8/2016,20000,Human,"Nervous system, respiratory system, eyes","Nervous system, respiratory system, eyes",Mild,1999,,,35,,"Alimentary system (liver), kidney",No,Carcinogenicity,0.000001,0.005,0.00008,,0.00006,2001,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
"p-a,a,a-Tetrachlorotoluene",5216-25-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Tetrachlorvinphos,22248-79-9,Organophosphate pesticide.,"TCVP, (Z)-2-chloro-1-(2,4,5-trichlorophenyl) vinyl dimethyl phosphate, Rabon, Stirofos, Gardona, Gardcide, 	 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
